17/08/07 22:24
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	10632	102567	    620319	    708427	  111	
未翻訳：        	10627	102562	    620190	    708298	  111	
繰り返しを除いた：   	 8684	 98167	    588978	    673932	  111	
繰り返しを除いた未翻訳：	 8681	 98164	    588903	    673857	  111	


ファイルごとの翻訳状況：

ファイル名                                                  	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
user_guide_src/ghpages.rst                             	     22	    22	         22	            22	    253	   253	        253	           253	          1472	         1472	              1472	                 1472	          1681	         1681	              1681	                 1681	
user_guide_src/README.rst                              	     23	    23	         22	            22	    319	   319	        317	           317	          1506	         1506	              1498	                 1498	          1540	         1540	              1531	                 1531	
user_guide_src/source/changelog.rst                    	     45	    45	         45	            45	    146	   146	        146	           146	          1451	         1451	              1451	                 1451	          1633	         1633	              1633	                 1633	
user_guide_src/source/concepts/autoloader.rst          	     30	    30	         30	            30	    553	   553	        553	           553	          2576	         2576	              2576	                 2576	          2764	         2764	              2764	                 2764	
user_guide_src/source/concepts/http.rst                	     66	    66	         65	            65	    707	   707	        707	           707	          4021	         4021	              4020	                 4020	          4565	         4565	              4564	                 4564	
user_guide_src/source/concepts/index.rst               	      5	     5	          4	             4	     24	    24	         24	            24	           177	          177	               175	                  175	           178	          178	               176	                  176	
user_guide_src/source/concepts/mvc.rst                 	     45	    45	         45	            45	    793	   793	        793	           793	          3872	         3872	              3872	                 3872	          4486	         4486	              4486	                 4486	
user_guide_src/source/concepts/security.rst            	     72	    72	         51	            51	    789	   789	        711	           711	          6206	         6206	              5226	                 5226	          6928	         6928	              5891	                 5891	
user_guide_src/source/concepts/services.rst            	     77	    77	         71	            71	    820	   820	        820	           820	          4679	         4679	              4672	                 4672	          5380	         5380	              5373	                 5373	
user_guide_src/source/concepts/structure.rst           	     26	    26	         25	            25	    527	   527	        527	           527	          2321	         2321	              2319	                 2319	          2433	         2433	              2431	                 2431	
user_guide_src/source/contributing/documentation.rst   	     41	    41	         34	            34	    307	   307	        300	           300	          1976	         1976	              1917	                 1917	          2132	         2132	              2070	                 2070	
user_guide_src/source/contributing/guidelines.rst      	     41	    40	         41	            40	    536	   535	        536	           535	          3229	         3202	              3229	                 3202	          3674	         3647	              3674	                 3647	
user_guide_src/source/contributing/index.rst           	     43	    43	         42	            42	    446	   446	        446	           446	          2449	         2449	              2447	                 2447	          2835	         2835	              2833	                 2833	
user_guide_src/source/contributing/internals.rst       	     59	    59	         58	            58	    762	   762	        761	           761	          4281	         4281	              4265	                 4265	          4907	         4907	              4891	                 4891	
user_guide_src/source/contributing/roadmap.rst         	     28	    28	         27	            27	    352	   352	        352	           352	          1397	         1397	              1395	                 1395	          1470	         1470	              1468	                 1468	
user_guide_src/source/contributing/signing.rst         	     53	    53	         46	            46	    684	   684	        678	           678	          3735	         3735	              3680	                 3680	          4328	         4328	              4270	                 4270	
user_guide_src/source/contributing/styleguide.rst      	    176	   176	        163	           163	   1369	  1369	       1361	          1361	          8143	         8143	              8079	                 8079	          9417	         9417	              9346	                 9346	
user_guide_src/source/contributing/workflow.rst        	    109	   109	         96	            96	   1248	  1248	       1218	          1218	          6460	         6460	              6297	                 6297	          7561	         7561	              7376	                 7376	
user_guide_src/source/database/call_function.rst       	     18	    18	         17	            17	    186	   186	        186	           186	          1122	         1122	              1120	                 1120	          1271	         1271	              1269	                 1269	
user_guide_src/source/database/configuration.rst       	     77	    77	         70	            70	    988	   988	        988	           988	          7048	         7048	              6907	                 6907	          8033	         8033	              7890	                 7890	
user_guide_src/source/database/connecting.rst          	     42	    42	         36	            36	    400	   400	        400	           400	          2518	         2518	              2506	                 2506	          2850	         2850	              2838	                 2838	
user_guide_src/source/database/entities.rst            	    178	   178	        125	           125	   1446	  1446	       1369	          1369	          8197	         8197	              7585	                 7585	          9449	         9449	              8799	                 8799	
user_guide_src/source/database/events.rst              	     17	    17	         15	            15	    164	   164	        164	           164	           955	          955	               953	                  953	          1083	         1083	              1081	                 1081	
user_guide_src/source/database/examples.rst            	     43	    43	         36	            36	    348	   348	        344	           344	          2643	         2643	              2599	                 2599	          2895	         2895	              2849	                 2849	
user_guide_src/source/database/forge.rst               	    169	   169	        139	           139	   1410	  1410	       1396	          1396	          9178	         9178	              9039	                 9039	         10271	        10271	             10120	                10120	
user_guide_src/source/database/helpers.rst             	     28	    28	         26	            26	    201	   201	        201	           201	          1247	         1247	              1243	                 1243	          1405	         1405	              1401	                 1401	
user_guide_src/source/database/index.rst               	     22	    22	         19	            19	     91	    91	         89	            89	           731	          731	               708	                  708	           799	          799	               776	                  776	
user_guide_src/source/database/metadata.rst            	     54	    54	         46	            46	    379	   379	        368	           368	          2507	         2507	              2436	                 2436	          2805	         2805	              2729	                 2729	
user_guide_src/source/database/migration.rst           	    189	   188	        146	           145	   1662	  1661	       1475	          1474	         10953	        10932	              9801	                 9780	         12657	        12636	             11333	                11312	
user_guide_src/source/database/model.rst               	    296	   296	        273	           273	   3183	  3183	       3168	          3168	         19240	        19240	             19076	                19076	         22110	        22110	             21931	                21931	
user_guide_src/source/database/queries.rst             	    196	   196	        164	           164	   1672	  1672	       1625	          1625	          9820	         9820	              9465	                 9465	         11239	        11239	             10852	                10852	
user_guide_src/source/database/query_builder.rst       	    627	   627	        465	           465	   6039	  6039	       5369	          5369	         37711	        37711	             33340	                33340	         42513	        42513	             37670	                37670	
user_guide_src/source/database/results.rst             	    212	   212	        156	           156	   1817	  1817	       1683	          1683	         11061	        11061	             10156	                10156	         12423	        12423	             11430	                11430	
user_guide_src/source/database/seeds.rst               	     26	    26	         25	            25	    326	   326	        326	           326	          2079	         2079	              2077	                 2077	          2328	         2328	              2326	                 2326	
user_guide_src/source/database/transactions.rst        	     44	    44	         43	            43	    605	   605	        605	           605	          3693	         3693	              3691	                 3691	          4133	         4133	              4131	                 4131	
user_guide_src/source/DCO.rst                          	      6	     6	          6	             6	    186	   186	        186	           186	           993	          993	               993	                  993	          1154	         1154	              1154	                 1154	
user_guide_src/source/general/alternative_php.rst      	     31	    31	         31	            31	    233	   233	        233	           233	          1392	         1392	              1392	                 1392	          1597	         1597	              1597	                 1597	
user_guide_src/source/general/caching.rst              	     28	    28	         24	            24	    332	   332	        332	           332	          1720	         1720	              1712	                 1712	          2004	         2004	              1996	                 1996	
user_guide_src/source/general/cli.rst                  	     54	    54	         49	            49	    488	   488	        484	           484	          2816	         2816	              2778	                 2778	          3222	         3222	              3182	                 3182	
user_guide_src/source/general/cli_commands.rst         	    134	   134	        109	           109	   1075	  1075	       1063	          1063	          6246	         6246	              6139	                 6139	          7172	         7172	              7057	                 7057	
user_guide_src/source/general/common_functions.rst     	    214	   214	        160	           160	   1644	  1644	       1588	          1588	          9578	         9578	              9173	                 9173	         11060	        11060	             10608	                10608	
